recno_1,Name_1,RAJ2000,DEJ2000,pmRA,pmDE,PrAll,PrPM,OName,recno_2,Name_2,n_Name,l_WLi,WLi,u_WLi,l_WLiF,WLiF,u_WLiF,TempV,TeffChi,LBol,l_ALi,ALi,e3ALi,Prot,Amp,l_Vsini,Vsini,PClass,LiClass,logLX_Lbol
51,HII0708,56.397484,24.08321,21.81,-37.44,1.0,0.2,HII708 Tr213,45,HII0708,,,97.0,,,84.0,,6000,5882,1.5,,2.654,0.117,0.294,,,46.0,F,--,29.853
52,HII0740,56.426872,25.05709,10.21,-34.36,0.95,0.12,HII740,110,HII0740,,,152.0,,,152.0,,4500,4498,0.118,,1.501,0.084,2.77192235,0.1106,,14.0,A,Rich,
53,HII0746,56.424374,24.431513,19.73,-44.07,1.0,0.64,HII746,46,HII0746,,,107.6,,,107.6,,5500,5465,0.558,,2.405,0.082,5.23230299,0.0163,,4.8,S,--,29.133
54,HII0879,56.52706,24.56742,16.45,-43.22,1.0,0.86,HII879 Tr253 DH420,47,HII0879,,,127.0,,,152.0,,4500,4676,0.18,,1.705,0.104,7.064627,0.0495,,5.6,S,--,28.98
55,HII0882,56.517178,23.405537,22.23,-37.87,0.96,0.19,HII882 Tr256 DH418,111,HII0882,,,212.0,,,212.0,,4500,4497,0.213,,1.795,0.109,0.57988155,0.097,,65.0,F,Rich,29.67
56,HII0883,56.528744,24.562807,16.73,-42.06,1.0,0.91,HII883 Tr257 HCG208,48,HII0883,,,50.0,,,45.0,,4500,4532,0.153,,0.769,0.172,7.03724472,0.0453,,3.8,S,--,28.98
57,HII0916,56.54894,24.622314,14.79,-51.74,1.0,0.09,HII916 Tr268 DH428,49,HII0916,Bin?,,191.3,,,191.3,,5000,5117,0.4,,2.499,0.083,5.91403628,0.0539,,5.6,S,--,29.293
58,HII0923,56.541874,23.340015,22.0,-51.8,0.9,0.72,HII923 Tr270 DH427,50,HII0923,,,171.0,,,158.0,,6000,6051,1.41,,3.289,0.101,2.84578235,0.0156,,18.2,A,--,29.55
59,HII0974,56.58531,24.78548,13.42,-42.07,1.0,0.73,HII974 Tr284 SK475 DH438,51,HII0974,,,33.0,,,33.0,,4200,4110,0.0972,,0.094,0.124,6.57829398,0.0286,,4.2,S,--,29.003
60,HII0996,56.59448,24.570177,10.21,-53.29,1.0,0.03,HII996 HD282963 Tr289,52,HII0996,,,144.0,,,132.0,,6000,5969,1.1,,3.052,0.103,3.08777064,0.0188,,11.9,A,--,29.623
